Gene	P103M 4% Spike	P103M 40% Spike	Isolate MinION	Isolate Illumina	P103M No spike
PC1 beta-lactamase (blaZ)	1	1	NA	NA	1
group SHV-LEN-OKP-1	1	1	1	1	NA
PBP1b	1	NA	NA	NA	NA
cpxA	NA	1	1	1	NA
cpxR	1	1	1	1	NA
CRP	1	1	1	1	NA
emrB	1	1	1	1	NA
emrR	NA	NA	1	1	NA
group bmr-eme-1	1	1	NA	NA	1
group mar-ram-1	NA	NA	1	1	NA
group mdt-mds-acr-mtr-1	NA	1	1	1	NA
group oqx-mex-1	1	1	1	1	NA
group qac-2	1	1	NA	NA	1
H-NS	1	1	1	1	NA
mdtD	NA	1	NA	1	NA
mgrA	1	NA	NA	NA	NA
norA	1	1	NA	NA	1
patA	NA	1	1	1	NA
group mex-acr-1	1	1	1	1	NA
group mex-sme-1	1	1	NA	NA	NA
group oqx-mex-amr-1	1	1	1	1	NA
group acr-sme-1	NA	1	1	1	NA
group bae-sme-1	NA	NA	1	1	NA
group mdt-mex-sme-1	NA	1	1	1	NA
aminocoumarin resistant alaS	1	1	1	1	NA
group AAC-APH-1	1	1	NA	NA	1
mfd	NA	NA	1	1	NA
group Fos-3	1	1	1	1	NA
fusB	1	NA	NA	NA	NA
lsaA	1	1	NA	NA	1
group Erm-7	NA	1	NA	NA	1
group mph-2	1	1	NA	NA	NA
group mec-2	1	1	NA	NA	1
Bifidobacteria intrinsic ileS	1	1	NA	NA	1
vgaC	1	1	1	1	NA
group tet-6	1	1	NA	NA	1
dfrE	1	1	NA	NA	1
group dfr-14	1	1	NA	NA	NA
